assigned_number,description,points,extra_points_available,extra_points_received,drop_number
1,Låna en lärares bil och åk till coop stenby från skolan och köp något gott till läraren 10p,10,false,0,3
2,Vara på nationella nyheterna/TV. 20p,20,false,0,3
3,Röka en fimpad cigg från marken 20p,20,false,0,3
4,"Beställa en cheeseburgare med 20 ost, den måste ätas upp. 10p",10,false,0,3
5,Hångla med någons klasskompis syskon 20p,20,false,0,3
6,Få en autograf av en kändis 10p,10,false,0,3
7,Dricka 10 bärs under en golf runda 20p,20,false,0,3
8,Svepa en ubåt utan att göra en min 20p,20,false,0,3
9,Bygg en mänsklig pyramid på 10 pers. 10p,10,false,0,3
10,Slicka på en toalettstol på O’Learys (nattklubben) 20p,20,false,0,3
11,Spela musik och dansa till en låt i en ICA-butik (måste vara hela låten och med mycket folk i butiken) 10p,10,false,0,3
12,Låtsas att du är på väg att spy på en buss eller en tågvagn och ta en persons plats 10p,10,false,0,3
13,Skrik allt vad du har i ett bibliotek 10p,10,false,0,3
14,Gör magplask från minst en meter 10p,10,false,0,3
15,Kolla på porr högt i en buss (måste var minst 10 personer på bussen) 10p,10,false,0,3
16,"Flytta bak varorna på rullbandet på kassan så fort kassörskan vill ta den, fortsätt till den säger till 5p",5,false,0,3
17,Bädda ner dig i en säng i ikea och ligg kvar tills du blir tillsagd 10p,10,false,0,3
18,10 personer ska in i ett skyltfönster och posa samtidigt 20p,20,false,0,3
19,Hångla med någon som går i ettan eller tvåan på Hitachi 20p,20,false,0,3
20,Begå klassincest (hångla) minst 10 sek 20p,20,false,0,3
21,Blockera en buss på storagatan i minst 20 sek 10p,10,false,0,3
22,Försök köpa en vodkaflaska från systemet utkläd till en gammal person. 20p,20,false,0,3
23,Backa i en donken drive through 5p,5,false,0,3
24,Bada naken på löga 10p,10,false,0,3
25,Stanna en bil för att tvätta bilrutan 5p,5,false,0,3
26,Ge någon i klassen med motsatt kön ett sugmärke 10p,10,false,0,3
27,"Klä ut dig till en person av motsatt kön, ladda ner tinder och boka en dejt med en av samma kön (genomför hela dejten). 20p",20,false,0,3
28,Kör 50 varv i en rondell. 10p,10,false,0,3
29,Skriv ut en dildo från 3D-printern. 10p,10,false,0,3
30,Ät en hel nyköpt maxi boll (900 gram chocklandboll ica max hälla) på 15 minuter. 20p,20,false,0,3
31,Köp en glasstrut och fråga kassören om hen tror på enhörningar. Tryck sedan fast glasstruten i pannan och gnägga. 10p,10,false,0,3
32,"Gå fram till en främling med lösmustasch och peruk, visa upp din legitimation och fråga om de känner igen personen. 10p",10,false,0,3
33,"Shotta tillsammans, med klassen. (Minst 6 cl var) 5 poäng per person som deltar",5,false,0,3
34,Dansa med en polis i uniform i minst 30 sekunder. 10p,10,false,0,3
35,Drick en liter rosa mjölk på 5 minuter. 10p,10,false,0,3
36,"Ha picknick i minst 15 min i en rondell. (Måste innehålla en dryck, 2 matalternativ och en picknickfilt) (minst 5 deltagare) 10p",10,false,0,3
37,Krama en riktig och levande gris. 5p,5,false,0,3
38,Drick 500ml vin med alkohol (Minst 10%) under 5 minuter. 20p,20,false,0,3
39,"Drick en grogg med 4cl pickle juice, 4cl tequila, 4cl tomatjuice och 5 droppar tabasco. 10p",10,false,0,3
40,Gör ett kundmeddelande i en butik där du promotar klassen. 10p,10,false,0,3
41,Kör följa-John på en främling i minst 5 minuter. (Ingen på skolan) 5p,5,false,0,3
42,Lägg 5 random varor i en främlings korg och filma reaktionen. 5p,5,false,0,3
43,Bada i dammen i Vasa parken. (Axlarna under vattnet) 10p,10,false,0,3
44,Drick en shot (minst 8%) varje gång dom säger YMCA i låten YMCA under låtens tid 30p,30,false,0,3
45,Ha en snus under förhuden i 1 min 20p,20,false,0,3
46,Kom med häst och vagn till balen. 50p,50,false,0,3
47,Pierca underlivet. 100p,100,false,0,3
48,Byt byxor på stora gatan (vid busshållplatsen) måste vara minst 4 personer i närheten 10p,10,false,0,3
49,Gå igenom drive thrun och spela trap queen och ge personalen en ros 10p,10,false,0,3
50,"Hångla med en 25+ (får samma poäng som personens ålder, legg för bevis)",25,false,0,3
51,Spraya grädde i en armhåla i klassen och slicka upp det 10p,10,false,0,3
52,Moona mot skrapan (inte mellan 00-06 på en vardag) 20p,20,false,0,3
53,Klottra på siloområdet (klåtterväggen) - skriv klassnamnet 10p,10,false,0,3
54,Rid på en häst 5p,5,false,0,3
55,"Drick ett flak, 24st öl/cider (minst 4,5% alkoholhalt) på en och en halv timme (småburkar), kan delas på tre 50p",50,false,0,3
56,"Färga håret till Sverige flagga, hela huvudet och det ska vara ett kors, ha det i minst 24 timmar 20p",20,false,0,3
57,Dricka varsitt rått ägg med 5 personer i klassen samtidigt. 20p,20,false,0,3
58,Övernatta (måste vara minst 10 timmar vistelse) på en öde ö (dokumentera alla delar) 50p,50,false,0,3
59,Ha en sexig photoshoot (minst tre bilder) med en polisen medan du har handklovar på dig 50p,50,false,0,3
60,Slicka på bröst 20p,20,false,0,3
61,Slicka på pungkulla 20p,20,false,0,3
62,100 burgare på 8 min (hela klassen får delta) 50p,50,false,0,3
63,"Rubikscube challeng (röka två cigg, lös två rubikscube och drick två stor stark på 15min) 30p",30,false,0,3
64,Ansiktes piercing (örat räknas inte) 70p,70,false,0,3
65,Be en främling hålla i kopplet till din låssashund medan du knyter skorna 5p,5,false,0,3
