assigned_number,description,points,extra_points_available,extra_points_received,drop_number
58,Täck en lärares bil med post it-lappar. 20p,20,false,0,2
59,"Köp kondomer utan att prata eller peka. (Endast gester, måste vara i kassan) 10p",10,false,0,2
60,Ha en högljudd offentlig konflikt på bussen om att du fått könssjukdom (Måste vara minst 10 personer på bussen i minst 2min). 10p,10,false,0,2
61,"Gå in i ica maxi hälla mellan kl 16 – 18 under en vardag, kryp från ingången till hundmatshyllan och skäll. (Medföljande ägare och koppel krävs) 20p",20,false,0,2
62,Skinnydippa med minst 10 personer ur klassen. 50p (20 bonuspoäng om det finns motsatta kön),50,true,0,2
63,Bygg och kör en lådbil från skolan till centralen. (Inget motordrivet hjälpmedel) 20p (man ska dokumentera hela resan),20,false,0,2
64,Snagga en landningsbana på en tvåa som har kvar den i 24h. 10p,10,false,0,2
65,Stå i en rondell och shotta vodka för varje bil som tutar och nå 20 shots. (Kan spridas ut på max 5 personer) 20p,20,false,0,2
66,Var med en etta under hela dens skoldag (alla lektioner)10p,10,false,0,2
67,Ha på er det motsatta könets underkläder över kläderna under en hel skoldag. 5p,5,false,0,2
68,Kom sent till en ettas eller tvåas lektion i bar överkropp och be om ursäkt och sätt dig ner på ledig plats. 20p (tjej får ha bh),20,false,0,2
69,"Avsugningsskola med en gurka och kondom på Sigmatorget i minst 3 minuter. (Fredag/lördag kväll, måste ha minst 10 personer i publik) 20p",20,false,0,2
70,Få minst 100 000 visningar eller 20 000 likes på en TikTok på nytt TikTok-konto. 20p,20,false,0,2
71,Vaxa ögonbrynen 50p,50,false,0,2
72,Raka av håret helt men lämna ögonbryn vid hårlinjen och ha så i 5 skoldagar. 50p (I kombination med att vaxa ögonbrynen ger det 10 bonuspoäng),50,true,0,2
73,Ta nippelpiercing. 70p,70,false,0,2
74,Gör en matchande tatuering (riktig) med någon i klassen (design måste godkännas av kommittén först). 70p,70,false,0,2
75,Byt alla kläder (ej underkläder) med varandra i den inglasade Skrapan-hissen närsomhelst mellan 13-16. (Görs mellan två klasskamrater) 20p,20,false,0,2
76,"Håll en Magic Mike show med 5 deltagare på sigmatorget, i minst 5 minuter med publik. (kan bara göras en gång per klass, måste vara med koreografi & musik) 50p",50,false,0,2
77,"Ta en kondom in i näsan, ut genom munnen. 10p",10,false,0,2
78,Bada (vatten över axlarna) i Sveriges fem största sjöar på 30 timmar. (Tiden börjar när man hoppar i första sjön.) 100p,100,false,0,2
79,Drick en hel minttu på 100 min 50p,50,false,0,2
