assigned_number,description,points,extra_points_available,extra_points_received
67,"Häll ett meningslöst tacktal på lärarmiddagen, som aldrig kommer till punkten, i minst 3 minuter. (Endast först till kvarn får poängen 20p)",20,false,0
68,Ta en öl med den lokala alkisen utan för coop stenby 10p,10,false,0
69,Var på McDonalds i 24h i sträck och live-streama upplevelsen. 50p,50,false,0
70,"Tatuera klassnamnet 230X, minst storlek 15 i Times New Roman. (Ej under foten eller i munnen) 100p",100,false,0
71,Skaffa Mike Tysons ansiktstatuering. 100p,100,false,0
72,"Gör en edit på en etta och skicka till elever och personal, bästa vinner (kan bara göras en gång per klass) 20p",20,false,0
73,Åk rullskridskor i skolan en hel dag 5p,5,false,0
74,Gör en musik video med hela klassen (kan bara göras en gång per klass) 20p (20 bonuspoäng för bästa musik video),20,true,0
75,Hitta rinkeby final boss och ta en bild 20p,20,false,0
76,"Kir challenge (10p per person som klarar, hela klassen får delta)",10,false,0
77,Håll intensiv ögonkontakt med en främling och sug av en glass (twister eller pigelin) 5p,5,false,0
78,Drick två långhylsor innan en lektion (Får börja dricka en kvart innan lektionen startar) (kan upprepas 5 gång) 10p,10,false,0
79,Skjutsa till och hem en lärare från skolan 10p (kan upprepas med olika lärare) (20p bonuspoäng om det är Johan Öster),10,true,0
80,Gör en parodi på gymnasietiden (lägg upp på youtube minst 15min lång) 20p,20,false,0
